MES/AÃ‘O,,2001,2002,2003,2004,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
ENERO,,14.41,12.94,15.80,16.24,,19.09,22.65,22.99,28.89,21.58,28.36,30.89,33.22,33.69,34.84,21.74,20.39,24.69,25.83,23.03,25.60,23.82,31.41,35.12,,
FEBRERO,,14.66,12.76,16.64,17.49,,18.60,22.35,22.04,28.71,21.35,27.99,31.86,34.80,35.44,33.93,23.25,19.38,23.88,25.78,23.87,24.51,25.53,33.84,35.03,,
MARZO,,14.49,13.04,17.79,18.11,,19.76,22.16,23.13,30.04,21.05,29.39,34.52,36.95,35.36,34.26,24.99,21.02,23.42,25.80,25.80,23.60,27.70,39.12,34.40,,
ABRIL,,14.46,14.60,17.01,18.48,,21.94,24.48,25.53,31.69,21.57,30.56,35.47,37.56,34.45,35.08,25.55,22.25,24.20,27.10,27.82,18.97,28.03,38.83,36.33,,
MAYO,,15.76,14.65,15.92,18.89,,22.48,26.85,27.59,33.12,22.81,29.84,35.61,35.85,34.60,34.70,26.86,23.10,23.64,28.29,27.88,18.74,28.80,42.14,34.90,,
JUNIO,,15.76,14.49,15.07,19.24,,22.22,26.77,28.69,35.51,23.91,28.03,34.76,33.72,34.25,35.36,27.10,23.66,23.33,27.95,26.44,21.08,28.85,41.19,,,
JULIO,,15.12,14.86,15.10,19.16,,22.23,26.58,28.41,36.42,26.56,27.93,34.97,34.71,35.64,35.61,27.14,22.53,23.15,27.87,27.13,22.55,29.49,36.41,,,
AGOSTO,,14.32,15.68,15.54,19.04,,22.89,28.12,27.91,35.78,26.58,28.13,35.14,35.28,36.33,34.03,25.20,22.34,23.73,27.95,26.07,22.33,29.91,36.06,,,
SEPTIEMBRE,,14.50,15.63,16.81,18.91,,25.27,27.29,27.16,34.83,26.71,27.22,34.74,37.67,36.03,33.11,23.27,22.99,25.32,28.21,25.85,22.14,30.23,35.21,,,
OCTUBRE,,14.48,16.00,16.60,19.48,,27.22,24.73,27.34,31.29,26.02,28.80,34.11,36.69,34.14,31.35,22.86,23.36,24.44,28.54,25.61,22.30,31.00,37.33,,,
NOVIEMBRE,,13.99,16.12,16.28,20.31,,25.95,23.18,28.24,26.29,27.73,28.96,34.56,33.88,32.96,29.38,21.97,22.68,25.37,25.87,25.54,21.21,31.55,37.39,,,
DICIEMBRE,,13.21,15.90,15.89,20.03,,23.29,23.15,29.04,22.55,27.42,29.82,33.37,33.87,35.05,25.88,21.03,23.61,25.11,23.81,25.39,22.76,29.82,34.66,,,
Promedio,,14.60,14.72,16.20,18.78,,22.58,24.86,26.50,31.26,24.44,28.75,34.17,35.35,34.83,33.13,24.25,22.28,24.19,26.92,25.87,22.15,28.72,36.97,35.15,,
